"Date","Room","Leafarea","Leafarea_SE","Leafmass","Leafmass_SE","Stemmass","Stemmass_SE","Rootmass","Rootmass_SE"
2016-01-07,"1",24.4754666666667,1.70934519921149,0.0639,0.00518053385612745,0.0242,0.00178206149245791,0.0487,0.00323004253716795
2016-01-07,"2",24.4754666666667,1.70934519921149,0.0639,0.00518053385612745,0.0242,0.00178206149245791,0.0487,0.00323004253716795
2016-01-07,"3",24.4754666666667,1.70934519921149,0.0639,0.00518053385612745,0.0242,0.00178206149245791,0.0487,0.00323004253716795
2016-01-07,"4",24.4754666666667,1.70934519921149,0.0639,0.00518053385612745,0.0242,0.00178206149245791,0.0487,0.00323004253716795
2016-01-07,"5",24.4754666666667,1.70934519921149,0.0639,0.00518053385612745,0.0242,0.00178206149245791,0.0487,0.00323004253716795
2016-01-07,"6",24.4754666666667,1.70934519921149,0.0639,0.00518053385612745,0.0242,0.00178206149245791,0.0487,0.00323004253716795
2016-01-29,"1",40.6333333333333,9.79563394806301,0.233666666666667,0.0427096138019429,0.0523333333333333,0.0101707642015949,0.147333333333333,0.0193333333333333
2016-01-29,"2",63.3,9.79047155827202,0.271,0.0225166604983954,0.0723333333333333,0.00995545634871205,0.157333333333333,0.0162309717652531
2016-01-29,"3",122.066666666667,14.5160064909204,0.454,0.0540401085614503,0.124,0.00793725393319377,0.227333333333333,0.0296779004947752
2016-01-29,"4",152.333333333333,32.2843787474858,0.576,0.100400863210101,0.185333333333333,0.0315453817715226,0.216,0.0265141471671257
2016-01-29,"5",134.8,33.0932520815548,0.632666666666667,0.111092053921261,0.237333333333333,0.044393442959268,0.156,0.0413561764834871
2016-01-29,"6",123.333333333333,12.3434224499438,0.465333333333333,0.0586410929108401,0.235,0.035557465226494,0.167,0.0165025250593154
2016-02-10,"1",153.833333333333,10.385299439325,0.96,0.113578166916005,0.29,0.055075705472861,0.486666666666667,0.0906151814604546
2016-02-10,"2",363.566666666667,23.2562775276794,1.46,0.106926766215636,0.586666666666667,0.0517472489875334,0.81,0.0929157324317757
2016-02-10,"3",560.666666666667,77.0730029113812,2.65666666666667,0.511022939254633,0.93,0.147309198626562,1.10333333333333,0.301404121478862
2016-02-10,"4",693.966666666667,81.0669956133677,3.13666666666667,0.385155091417009,1.36666666666667,0.307480803375503,1.01333333333333,0.21865752013391
2016-02-10,"5",534.5,80.2515005051827,2.18333333333333,0.287885007907285,1.51,0.332315111503123,0.85,0.198578280114753
2016-02-10,"6",346.4,91.5209994117926,1.59,0.312143129562919,1.03,0.224796204001165,0.506666666666667,0.115662343819316
2016-02-17,"1",374.891666666667,20.2954719772115,1.36461666666667,0.0938103598282786,0.9159,0.102805444084121,0.791566666666667,0.0570806719574245
2016-02-23,"1",432.727777777778,64.3729112666056,1.81831111111111,0.282347315397802,1.33875555555556,0.214055698950265,0.992677777777778,0.158531382958442
2016-02-18,"2",785.01,39.3265661904689,2.91466666666667,0.248503275744115,2.76535555555556,0.480057333992257,1.21621111111111,0.122235132525215
2016-02-23,"2",983.125,38.7814573174689,3.92238333333333,0.405340277147211,3.69355666666667,0.273459624096705,1.57193333333333,0.179272309939687
2016-02-17,"3",934.733333333333,38.1687228558206,4.19436666666667,0.285144811942595,4.30028333333333,0.121270085392528,1.59295,0.146118935003875
2016-02-22,"3",1323.82555555556,44.8911585612948,5.9132,0.273098600936243,5.61936666666667,0.248227700688076,2.06966666666667,0.12977993981266
2016-02-18,"4",1368.93955631111,88.2812018508795,6.11543333333333,0.37882481659293,5.97302222222222,0.68483529523889,2.02106888888889,0.159528724280861
2016-02-23,"4",1389.67833363333,104.546045633791,5.80501666666667,0.602355241484993,7.68648666666667,0.604905090663908,1.84218333333333,0.137090567185022
2016-02-17,"5",877.756666666667,48.9733402758866,3.94391666666667,0.268172697363306,4.95618333333333,0.473597645979979,1.27336666666667,0.0751275611506486
2016-02-23,"5",1306.93222222222,110.458724905351,5.76901111111111,0.577642161781757,7.31744444444444,0.577649324396133,1.61611111111111,0.127379525265209
2016-02-18,"6",630.013333333333,64.9578416915327,2.98535555555556,0.289086059423637,4.26315555555556,0.472969542744771,0.794215555555556,0.157527362412509
2016-02-23,"6",740.683333333333,87.4142556515304,3.59263333333333,0.603220993040233,4.59136666666667,0.479061489906161,0.668166666666667,0.171387106995959
